아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
꽁언니,상위 10%,24.10.01,기본 아이보리(ivory),2[66~77],생각보다 커요,아주 만족해요,화면과 비슷해요,168,59,66,"구매이유 : 무난하게 평소에 입을 수 있는 흰색 상의가 필요했어요!
체형 : 팔뚝살 부자, 허리는 살 별로 없음
디자인 & 핏 : 넥라인이 U자로 파여있고 팔은 널널, 허리도 여유로워요. 색감도 퓨어화이트입니다 ㅎ
착용감 : 보들보들하고 거칠지않아서 부드러워요!

처음 구매했을땐 63키로정도여서 딱 맞는 느낌이었는데 59kg로 빠지니까 더 널널해졌는데 편하게 입을 수 있어서 좋아요. 기본티는 유프리아로 정착입니다,,❤️",2[66~77]
DHCsGdc6,상위 30%,24.09.22,크롭 아이보리(ivory),2[66~77],정사이즈예요,보통이에요,화면과 비슷해요,157,62,55,조금 달라붙긴하지만 그건 제 살 문제고 옷 자체는 깔끔하고 예뻐요! 소재도 편하고 얇아서 이 정도 날씨에 이너로 입기 딱 좋은 정도? 조금 비침 있어서 그거 많이 신경 쓰시는 분들은 조금 불편하실 수도 있어요,2[66~77]
tuZTSast,상위 25%,24.09.13,기본 아이보리(ivory),3[88~99],정사이즈예요,보통이에요,화면과 비슷해요,173,76,77,진짜 흰티에 청바지 입고싶을 때 너무 찰떡! 너무 붙어서 부담스럽지 않은데 어느정도 몸매 보일정도여서 어디에나 입기 좋아요! 바스트가 있어서 다른 곳들 티는 다 짧은데 여긴 선택할 수 있어 너무 좋았고 팔뚝이 아주 잘 커버돼요. 목은 엄청늘어날거같진 않구 비침은 약간 있는데 뭐 여름엔 신경안쓰니까 상관없을거같아요.,3[88~99]
포동핑,상위 20%,24.09.12,크롭 아이보리(ivory),2[66~77],정사이즈예요,보통이에요,화면과 비슷해요,165,55,66,할인하길래 바로 2장 샀습니다. 팔뚝살부자에 어깨 넓은데 나름 핏 괜찮습니다! 팔뚝이 널널하신걸 원하시면 2사이즈업은 해야할것 같아요! 부들부들 재질이고 리뷰처럼 생각보다 많이 파였어요! 안에 이너로 입고 겉에 셔츠입고 다니기 딱입니다!,2[66~77]
포동핑,상위 20%,24.09.12,크롭 블랙(black),2[66~77],정사이즈예요,아주 만족해요,화면과 비슷해요,165,55,66,할인하길래 바로 2장 샀습니다. 팔뚝살부자에 어깨 넓은데 나름 핏 괜찮습니다! 팔뚝이 널널하신걸 원하시면 2사이즈업은 해야할것 같아요! 부들부들 재질이고 리뷰처럼 생각보다 많이 파였어요! 안에 이너로 입고 겉에 셔츠입고 다니기 딱입니다!,2[66~77]
마요미,상위 5%,24.09.12,크롭 아이보리(ivory),2[66~77],정사이즈예요,보통이에요,화면과 비슷해요,171,63,66,목파임이 적당히 있는 편인데 옷이 은근 두툼하고 짱짱해서 고개 숙여도 안이 잘 안보여서 괜찮아용 핏도 이쁜데… 배가 좀 달라붙네여…ㅋㅋㅌㅋㅋㅋ 힘주고 다녀야할듯 ㅠㅠㅎ 비침 정도는 사진으로 확인해쥬세요~ 밝은 색 속옷 입었는데 잘 비치네요,2[66~77]
0xDdi1kD,,24.08.10,기본 아이보리(ivory),2[66~77],정사이즈예요,아주 만족해요,화면과 비슷해요,175,62,66,"소재도 좋고
마감이나 전체적인 옷 퀄리티도 좋고
여름에 입기 좋고(폭염은 어쩔 수 없음)
팔 길이, 핏, 기장도 전체적으로 다 좋고 적당해요
정말 완벽합니다 🤩
제가 찾던 바로 그 쫀쫀이 티샤스였던 것 ,,

이거 입고 나들이 갔다가 인생샷 건져버렸어요,,♡

다만, 생각보다 많이 파였다는 점. 소재가 부드럽고 얇은 만큼 속옷도 최대한 살구색 *탑*으로 입으시길 추천 드리고, 팔뚝살 있는 분들은 팔 부분이 신경 조금 쓰일 수 있을 것 같아요 !
저는 팔뚝살 부자에 뱃살 부자였지만 그냥 개의치 않고 입고 다녔습니다 ,..",2[66~77]
낙날낙날,상위 5%,24.08.06,크롭 블랙(black),2[66~77],정사이즈예요,아주 만족해요,화면과 비슷해요,162,74,77,"부들부들하고 스판이 엄청 좋아요!
딱 붙게 입고싶어서 2 사이즈 했는데도 너무 잘 늘어나서 몸에 착 감기는 느낌은 아니더라구요
딱 붙게 입고 싶으시면 한 사이즈 작게 하시는게 좋을 것 같습니다!!
옷은 딱 배꼽 위까지 오고 활동할 때도 불편함 없이 잘 늘어나서 자주 입고 다닐 것 같아요 😆",2[66~77]
W4mGBmx3,,24.07.19,기본 아이보리(ivory),2[66~77],정사이즈예요,보통이에요,화면과 비슷해요,170,66,66,"붙긴 붙는데 엄청 심하게 조이는 정도가 아니라 적당히 핏되게 보여요 .. 장점이라 하면 팔뚝살 커버, 전체적 핏, 예쁜 바디 라인이 있고요 게다가 보들보들해서 느낌도 좋아요.. 아쉬운 점은 생각보다 깊은 넥 라인이 잇어요.. 기본인데도 생각보다 기장이 애매하게 짧아용.. 제가 유교걸이라 그런지 넥라인이 계속 내려가는게 거슬려서 계속 올리면서 입어요.. 하지만 저같은 퉁퉁이들에게 이런 핏이 나온단 거 부터가 너무 ㅁ맘에 들고 좋아요.. 재재구매 의사 잇습니다 .. 사실 얘도 재구매예요^^^^",2[66~77]
chj-****,상위 15%,24.07.17,기본 소라(sora),2[66~77],정사이즈예요,보통이에요,화면과 비슷해요,169,61,,"여쿨이라 하늘색을 잘 받는 편이에요
웜하진 않을까 하며 구매했는데 너무 예쁜색이왔어요
팔뚝살 부자라서 소매 너무 짧거나 핏하면 부담스러워서 안입게 되는데 얘는 거기에 최적화 된 옷이에요
소매도 딱 팔뚝살 가려줄만큼 내려와있어서 너무 어벙벙 하지도, 민소매 입은듯 부끄럽지도 않아요.
넥라인이 많이 파여서 말라보이는 효과가 있어요.
재질도 부들부들 닿는 촉감도 정말 좋네요
다만, 백팩을 매고 있었더니 하루만에 뒤에가 다 보풀이 났네요ㅎㅎ 그래도 저는 주기적으로 여기서 구매할거에요",2[66~77]
CeMNvU6S,상위 25%,24.09.22,크롭 아이보리(ivory),2[66~77],정사이즈예요,아주 만족해요,화면과 비슷해요,158,60,55,"일단 가격대비 옷 질감이 매우 부드럽구
마감도 잘 되어 있구요
제가 팔뚝과 뱃살이 심한편인데도 불구하고
조금씩 남습니다! 그래서 조금 슬림해보여요~
굳굳!^^- 소라색도 구매함",2[66~77]
CeMNvU6S,상위 25%,24.09.22,배색 소라(sora),2[66~77],정사이즈예요,아주 만족해요,화면과 비슷해요,158,60,55,"일단 가격대비 옷 질감이 매우 부드럽구
마감도 잘 되어 있구요
제가 팔뚝과 뱃살이 심한편인데도 불구하고
조금씩 남습니다! 그래서 조금 슬림해보여요~
굳굳!^^",2[66~77]
주리이,,24.10.06,기본 블랙(black),4[110~120],정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"팔부분이 넓어서 상대적으로 팔이 얇아보이는 효과가 있어서 거의 교복템이였어요 :)
다른거에 매치하기도 좋은 기본템이라 하나씩 가지고 있는 것도 좋은 것 같아요!!
심지어 가격도 저렴해서 저는 흰색 검정색 번갈아 가면서 잘 입고 있습니다!!
그리고 지금 약 1달동안 입었는데 전혀 늘어남이 없어요..가성비 굳",4[110~120]
대롱대롱,,24.09.16,기본 아이보리(ivory),2[66~77],정사이즈예요,아주 만족해요,화면과 비슷해요,153,60,66,"생각보다 쫌 파여있고 비침 꽤 있어요!
리뷰 사진 찍으려고 대충입었는데 나갈 때는 살구색이나 흰색 속옷 입어야할듯...
옆구리살 대박심하고 튜브살 때문에 물에 둥둥 떠다닐 수 있을 정도인데 부각 거의 없는 거 같아서 완전 만족해요",2[66~77]
