아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
파찌쓰,,24.02.05,그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,175,57,55,"175/57
배송오자마자 바로 뜯어서 입었는데 세상에나…
팔 길이, 옷 기장, 도톰한 기모, 예쁜 브이넥.. 모든 퀄이 미쳤어요.. 제발 사세요.. 스포티한 느낌이 나서 어떤 옷이든 다 매치해서 입을 수 있고 재질 또한 탄탄해서 정말 구김없이 입을 수 있습니다! 팔길고 크롭 싫으신 분들 꼭 꼭 입어주세요!!",Free
가여닝,상위 1%,25.01.01,백메란지,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,173,64,66,"남편이 보자마자 이쁘다고 얼른 입어 보라고 해서 
입고 사진 찍어봤어요ㅋㅋ

생각보다 훨씬 도톰해서 겨울내내 따뜻하게 입겠어요.
시보리도 짱짱해서 늘어짐 없이 핏이 유지되구요

색상은 얼굴 화사해 보이는 백메란지 입니닷
다른 컬러도 추가 구매 하고싶네용

저는 통통이지만 꽤 만족스러워요ㅋㅋ 
하지만 날씬이 분들이 입으시면 훨씬 힙하고 예쁠듯!",Free
시니에오,상위 5%,24.12.24,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,160,54,55,"고민고민 하다가 구매했는데
대체 고민을 왜했는지 
과거의 저에게 묻고싶네요
입어보자마자 사이즈도 딱 좋고
기모여서 따뜻하고 부드럽고
색감마저 이뿝니다 🤍🤍
단점이 있다면 팔이 쬠 길다는 것...?
그건 뭐 접거나 걷어 입으면 되서 사실 문제없어요
올 겨울 출근템으로 잘 입어보겠숩니다 🫡🫡",Free
wD7TWcUi,상위 5%,24.12.08,오트밀,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,"+
으아아 자수에 양기모에 스포티 디자인이라니 취향 대모음집
가오리 핏이예요.
프리팅이아니라 찐 자수입니다ㅠㅜ 넘 좋구 팔부분은 다른소재를 덧댄거구 프런트에 있는 숫자 로고 전부 자수입니다.
기모는 양기모인데 두께가 두껍지는 않아서 은근 아우터랑 합도 좋아요.
부드럽고 포근한 소재예요. 
-
조금 전체적으로 큰 느낌이 없잖아있긴해요
힘 있는 시보리는 아니예요.
첨에 먼지날림 좀 있어요.",Free
xKnNgvfS,상위 10%,24.12.07,네이비,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,155,50,55,"겨울에 휘뚜루 마뚜루 막 입을 기모 맨투맨이 필요했는데 제가 좋아하는 브이넥 라인에, 옆에 포인트로 라인이 들어가있어서 주문해버렸슴다!
전체 기장은 길지는 않았는데 저한테는 팔이 좀 많이 길더라구요~ 그래도 겨울 옷이니까 아우터 안에 입으면 상관없기두 하궁 너무 짧아도 안좋아서 만족합니댜!!",Free
쇼핑중독자입니다,상위 10%,24.12.06,네이비,FREE,정사이즈예요,보통이에요,화면과 비슷해요,167,55,55,"폭닥폭닥하고 스판기 있는 면 소재는 아니고 조금 특이한 소재에요! 부직포 같은 빳빳한 느낌의 소재
어깡 느낌은 살짝 나지만 입어보니 생각보다 핏이 이뿐걸요???
세일하면 다른 색상도 사고 싶어요",Free
Jjol,상위 20%,24.12.05,백메란지,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,164,53,55,"옷이 이쁜데 브이넥이 안어울려서 몇날며칠 고민하다 구매했어요
역시나 안어울리는데 이 옷 포기하고싶지 않아서 안에 반폴라 입고 입으니까 나름 잘어울리는거같아서 기분 좋게 출근중입니다
넣입해도 이쁘고 그냥 입어도 괜찮아용
팔이 좀 길어요 근데 팔이 길면 여리여리해보이니 오히려 좋아 ~~ 잘입을게용",Free
션션,상위 10%,24.12.01,그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,161,47,44,"이 맨투맨 아방파고 박시해서 은근 힙해보이기도 하고 귀여운 스타일로 까지 연출 쌉가능 입니다 🥺
안에 기모 좀 들어있어서 따뜻해서 더 좋네용 단독으로 입어도 이쁘고 안에 흰티랑 같이 입어도 이뻐욧 !_! 다음에 다른 색상도 사고싶네용 👍🏻",Free
감자히어로,탑리뷰어,24.11.29,네이비,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,163,47,44,"아악 당장 안사시고 뭐해요ㅠㅠ 고민하지말고 주문하쎄요
기모있어도 따듯할까 싶었는데 생각보다 훨씬 따듯하고 재질이 후드티 같은 면 재질은 아니에요 조금더 빠빳(?)한 느낌이라 먼지는 잘 붙을거같은데 그런 단점조차
잊게해주는 핏도 그렇고 박시한데 부해보이는
루즈핏이 아니라 사랑스러운 핏이라 해야하나
저는 완전 만족해요 ㅎㅎ 새로 산 바지에 매치해봤는데
트레이닝바지나 스웨이드든 하의는
뭐에입어도 잘 받칠거같아요 ㅎㅎ
브이넥이라 목이 답답해 보이지도않구 딱 적당히 파이는게 더 이쁘다해야할까요 ㅎㅎ
다른 색상도 구매하고시퍼요
다들 즐거운 직잭쇼핑 되세요~!",Free
혜봄,상위 10%,24.11.08,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,157,44,44,"믿고 결제하는 베이델리 제작 맨투맨이에요... 🤍 어깨 길이가 40cm에 육박하는 제게도 이런 여리한 느낌이 연출될 수 있다는 게 너무 좋았어요 ! 어깨가 넓으셔도 라인이 이쁘신 편이시면 입으셔도 괜찮을 듯 합니다

목이 짧은 체형이라 목이 파져있는 옷을 좋아하는 편인데, 깊지도 얕지도 않은 딱 적절한 v넥이 목 길이를 커버해줘서 좋아요... ☺

살짝 앞 프린팅이 아래로 내려가 있는 느낌이지만 딱히 거슬릴 정도는 아닙니다 !!",Free
