아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
쪼오코,탑리뷰어,24.12.24,블루,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,165,49,44,"재재재구매템입니다! 4번째후기~~
깔별로 너무쟁여둬서 이후드들만 따로 보관하는 서랍장도 있습니다..ㅋㅋ부피가 꽤 크거든요
이렇게나 사모을 작정은 아니었는데
이런 후드는 딱 기본템이라 색상별로 있으면 활용도가 정말 좋커든용 ㅎㅎ
출근할때 이옷을 색깔만 바꿔서 월화수목 활용할때도있슴니다ㅋㅋㅋ출근복장이 자유로운 회사라 거의 교복템마냥 자주입은것같아요!

재질은 조금 빳빳한편이에요! 밑단에 시보리가 짱짱해서 밴드 늘어짐걱정은 없을것같아요
크롭기장이라 너무 아방해보이지는않고
딱 상체가 이쁜핏으로 커버되는것같아요ㅎㅎ
이옷의 특징이 컬러가 물빠진듯한 빈티지함인데
세탁했을때 더이상의 물빠짐은 없었어요
제일 이뻤던건 아무래도 챠콜색상인것같고
제일 워스트는 분홍이었어요(밝은분홍이었기때문)
웜톤인저한테 안어울리기도하고~~

이 블루색상은 코듀로이스커트랑 코디해봤는데
조합이 생각보다 괜찮은것같아서🤔 맘에드네용
안감기모라 따땃하고 휘뚜루마뚜루 입고댕기기좋아서 손이많이가는 기본템입니당♥︎",Free
쪼오코,탑리뷰어,24.12.07,브라운,FREE,정사이즈예요,아주 만족해요,화면보다 밝아요,165,49,44,"이러다 새컬러 나올때마다 전부 구매할판..
브라운 짧게고민하고 바로질렀어요
확신의 가을웜톤은 이런컬러 대환영이요~!

음 상세페이지에는 좀 더 흰끼낭낭하고 쨍한 초코색인것같았는데 실제로 받아보니 색바랜 다크 초코색깔? 어느각도에서 찍느냐에따라 카메라에담기는 색이 달라지긴합니다!. 
1,2,3번째 사진하고 제일 비슷하구여 4,5번은 빛받아서 밝게나옴. 이 브라운색상은 챠콜하고 비슷한 빈티지느낌이나서 더 좋은거같아여~~

이 후드티도 벌써 4개나 모았네요ㅋ
그래서 이렇게된김에 이후드 전용으로 나온것같은 패딩조끼도같이 구매했어요!
이 패쪼하나로 4가지색상 다 매치해도 쌉어울림ㅎ
후드티만입었을때 살짝 아쉬운느낌이
패딩조끼로인해 완벽해진 느낌이랄까욯ㅎㅎ

이 후드티 그만사야하는데... 왠지 돈생기면 또 카키를 데리러올것같은 무서운예감이드네여
그러다 25년 신상컬러추가되면 그것도 사러오게되는 뻔한 미래가 예상되네여 ㄷㄷ;;
기본으로 여러색상 다 가지고있으면 좋긴하니
돌아가면서 잘입을게용! 안감 기모라 따숩긴 오지게따셔영ㅎㅎㅎ",Free
쪼오코,탑리뷰어,24.12.05,차콜,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,165,49,44,"분홍,블루,차콜 세가지 구매했습니다
분홍색을 1년전에 사서 잘입고 블루랑차콜은
재구매인데요~ 분홍색 입었을때보다 조금더 빳빳한 느낌은있어요.. 그런데 이거사고나니 왜하필 신상컬러가 나온거죠? 또 다사고싶게..ㅠㅠ
컬러도 예쁘게잘뽑혀서 신상너무사고싶어요!!!!
이 후드티 기장도 딱좋고 짱짱하니 패딩조끼랑 조합하면 너무잘어울리고 좋은데 다만 모자가 너무 무거워요..ㅋㅋ 모자에 무게가 다 쏠린느낌?ㅠㅠ
그점아쉽구요... 시보리짱짱하고 늘어짐걱정없는데 옷이 무거운게 저한테는 단점이라고할수있겠네요
그래도 예민하지않은분들은 신경안쓰일것같아요
저는 평소 목,어깨통증 호소인이라..ㅠㅎ
아무튼 보유한 세가지중에는 차콜이 제일맘에듭니다",Free
윤짱,탑리뷰어,24.11.15,핑크,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,150,38,44,"탄탄하고 넘 예뻐요! 
약간 쿨핑크계열이라 파워웜톤인 제 얼굴에서는 조금 따로노는느낌이 들었지만ㅋㅋㅋ 
옷자체색상 너무 예쁘고 핏도 맘에들고 도톰해서 좋아요~! 
반바지도 베이델리꺼에용 
키150 기준 밑단 밴드부분 안으로 말아입었고
밑단도 소매 밴드도 짱짱해서 좋아용👍🏻
다른색으로 또살까봐요 ~~!!",Free
tmeh*****,,24.01.25,핑크,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,160,49,44,"후드가 무채색 밖에 없어서 핑크 처음 사봤는데
넘무 이쁘네요!!!
일단 후드 퀄리티가 좋고 안에 기모도 몽글하니 따수워요
색감은 사진 순서대로
1 입고 찍은 건 조명 등지고 있어서 어둡고
2 실내 약간 어두운 형광등 아래
3 야외(낮)에서 찍은 겁니다
색감에 참고 하세요👍",Free
dmsg******,상위 5%,25.01.12,차콜,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,160,50,55,"굉장히 맘에 들어요!! 작년부터 고민했었는데 일찍 살걸 그랬어요 ㅠㅠ
후드티 잘못사면 목이 너무 파이거나 모자 때문에 목졸리거나 기장이 너무 길거나 해서 불편한 경우가 많은데
이건 목부분도 편하고 기장도 골반정도에 걸쳐지는데 시보리가 짱짱해서 핏 잡기가 진짜 편해요!!
겉면은 탄탄 안쪽은 보들보들한 기모 소재이고
어깨라인이 약간 각잡혀있긴한데 입다보면 자연스러워질 것 같아요 ㅎㅎ
요즘 패딩도 다 크롭기장으로 나오다보니 일반 후드티 입으면 밑이 튀어나와서 안예뻤는데 이 후드는 세미크롭 기장이라 같이입으니까 딱이네요!
다른색 재구매 의사 있습니다 강추!",Free
jyen**,상위 5%,25.01.02,차콜,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,170,60,55,"살지말지 고민하던 시간이 아까울 정도로 색감,핏 훌륭합니다ㅜ 빈티지 워싱 느낌 평범한 회색 후드가
아닌 빛바랜 이 느낌이 정말 너 무 예쁘네요 기장감도 딱 좋아서 다리도 길어보여요 굿굿",Free
TInSBp4J,상위 15%,24.12.05,그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,160,43,44,색감은 거의 비슷한 것 같아요! 요즘 후드티 너무 크게나와서 아빠옷 입은 것 같은 핏이 났었는데 너무 짧지않고 입었을 때 딱 이뻐보이는 핏이에요! 팔을 들어도 피부가 보이지않을정도의 적당한 길이에요! 안에 털이 낭낭해서 추위많이타는 저도 따뜻할 정도입니다!!,Free
그린티프라뿌치노,상위 5%,24.12.03,블루,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,162,54,55,"💙핏: 딱 예쁜 크롭인데, 팔이랑 어깨는 오버핏이라 아주 맘에들어용 
💙퀄: 기모가도톰하고 옷도 두툼해서 따뜻하게 입을것같아요. 아주 부드러운느낌은 아니고 살짝 묵직한 한겨울 후드입니다 ㅎㅎ 시보리도 짱짱해요
💙색: 사진처럼 쨍한 블루는 아니고 블루와 네이비, 그레이가 절묘하기 섞인것같은 색이에요. 
여기 브랜드 다른 후드를 샀엇는데 넘 맘에들어서 구매해봤는데 역시나 맘에들어요!! 다른 컬러도 소장하고싶어요",Free
kaxGZbrZ,상위 10%,24.12.02,블루,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,145,50,55,"우선 생각보다는 크고 다른사람들은 모자가 커서 좋다고 했는데 저는 좀 불편하기는 하더라고요 그래도 그걸 감수할만큼 예쁘고 따땃해요!
생각보다 안부해보이고 팔도 너무 안길고 괜찮았어요! 제가 허리 시보리쪽 접어서 입은건데 145 키 기준 길이 확인하세요
색감도 화면 그대로 안개낀느낌?으로 채도 낮게 제 생각대로 너무 예뻐요><",Free
