아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
lee8******,상위 20%,24.05.05,Pink(핑크/긴팔),,정사이즈예요,아주 만족해요,화면과 비슷해요,165,45,44,아~~~~ 놀려고 급하게 샀는데 쥬우우운내 맘에 들어요 진짜~~~ 적당한 딸기우유색감쓰에 핏도 지리이이임~~~ 셔츠는 항상 단추 위치 애매한데 이건 단추 위치도 딱좋쓰!! !! 이거 색별로 쟁이고 싶다링 재질 퀄리티에 비해 금액도 비교적 가성비 있는듯~~~ 오래 입기 좋았게쓰~~~~,Free
8GowBox0,,24.04.27,White(화이트/반팔),,생각보다 커요,보통이에요,화면과 비슷해요,158,55,66,"셔츠 맘에 들어서 신난 발 > , <
생각보다 커서 놀란 가슴 진정시키고 ; ㅎ 
소매 롤업 했음여 ~ ㅋ
이거다,, 이거야,, 이놈이여,, 이것이여,,
너무너무 큐티뽀짝찰떡콩떡 ㅠ ㅠ 
빨리 입고 놀러가구싶어여 🖤",Free
ah3Ivgjt,,24.04.15,Cream beige(크림베이지/반팔),,생각보다 커요,보통이에요,화면과 비슷해요,167,52,66,목이 짧아서 원래 셔츠 잘 안 입는 사람인데 새로운 도전 아닌 도전을 해보고 싶어서 시킨건데 크기도 크고 길어서 이 셔츠 너무 너무 만족해요 🥹🥹 다른 컬러도 살 거 같아요 단점은 실밥이 많이 나와있다는 거…?,Free
my7b***,,24.04.10,Sky(스카이/긴팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,169,62,55,"원하던 색감과 핏입니다. 단점이 있다면 구김이 잘 생기는건데 소재 특성상 어쩔 수 없는것 같고, 소매부분 접는게 살짝 애매하네요. 그치만 오버핏이 마음에 들어서 다른 색상으로 재구매할 의사 있습니다!",Free
EabbUl0c,상위 10%,24.04.07,White(화이트/긴팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,163,62,55,"반팔버전이 이미 3개나 있는데 정말 마음에 들어서 계절 바뀌길 벼르다가 이제야 긴팔버전도 샀어요 ㅎㅎ 완전 정장에 입을 거 아니라 구김도 자연스럽고 소매랑 카라 전부 예쁘고 핏도 정말 좋아요. 전에 반팔 사고 리뷰에 썼던 것 같은데 ,, 판매자님 절대 이거 판매중지하면 안되요. 저 분홍이랑 노랑이랑 퍼플도 살거고요. 상품설명에는 있는데 옵션엔 민트 없어서 속상해요. 그냥 이 상품을 전문으로 파는 회사다, 어차피 꾸준히 팔리는 템이고 우리회사 이익의 20프로는 이거 팔아 나온다~ 생각하고 계속 판매해주세요",Free
whit******,,24.04.06,Sky(스카이/긴팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,166,68,77,"진짜 제가 원하던 스타일링이 두번째 사진의 착장인데 딱 기대한대로 나온 것 같아 기분이 좋습니다. 차분한 분위기의 채도 빠진 블루이고 밝은 그레이색의 슬랙스랑 입으면 굉장히 예쁩니다

제가 어깡에 가슴이 좀 있는 체형이라 셔츠를 다 잠그는걸 안좋아하는데 이 제품은 정말 오버핏이라 그런 저도 여리여리한 것처럼 보여주는 제품이에요 사계절 내내 활용해서 입을 것 같습니다",Free
bjldlK2W,,24.02.15,Sky(스카이/긴팔),,정사이즈예요,아주 만족해요,화면보다 밝아요,167,70,66,오버핏인 파란셔츠는 기본으로 가지고 있어야 한다는 생각이 들어 찾아보다 후기가 좋아 사게 되었는데 키가 큰 편인데도 불구하고 정말 오버핏 느낌이 나서 너무 좋았어요 실밥 매듭 퀄리티가 너무 좋다고 생각이 들어요 다만 모델이 분 사진보다 조금 쨍하고 밝은색에 가깝지만 색이 안 예쁜 건 절대 아니고 너무 예쁘게 잘 뽑혀서 봄부터 초여름까지 여러 코디에 활용하며 잘 입을 거 같습니다 감사합니다,Free
psqt******,상위 10%,24.12.17,Cream beige(크림베이지/긴팔),,생각보다 커요,별로예요,화면보다 밝아요,167,69,66,가오리핏같아요.. 그리고 너무 노래요! 크림베이지보다는 상아색에 가깝고 엉덩이를 가릴정도로 길이는 괜찮지만 단추가 너무 빡빡하고 가오리가타요… 그래도 레이어드하고 여름에 단추 풀고 입으면 예쁠것 같습니덩..✨제가 첨부한 사진은 많이 하얗게 나왔어요‘ㅜ,Free
자유롭게살고싶다,탑리뷰어,24.11.20,White(화이트/긴팔),,정사이즈예요,아주 만족해요,화면과 비슷해요,170,53,55,조금 잘 구겨지지만 품이 큰 셔츠라 마음에 드네요~ 셔츠 안에 옷을 입고 다녀도 예쁜 코디가 될 것 같은 셔츠입니다~ 그렇게 얇지도 않아서 겨울에 입어도 괜찮을 셔츠 같네요~ 잘 산 것 같습니다,Free
akak****,상위 15%,24.11.04,Green(그린/긴팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,153,42,44,가을 셔츠가 급히 필요해서? 추천에 떠서 봤는데 후기가 너무 좋고 가격도 딱이라서 바로 결제했고! 바스락거리는 재질이라서 구김은 생각보단 평이했어요 후기들이 많이 구겨진댔는데 그냥 면셔츠의 구김정도였고 겉면이 보풀이 일어날듯이 부드러움이 있는데 좀 더 입어봐야할듯 하지만 지금은 딱 좋아요 크다고했는데 전 핏 딱 좋았어요 살이 찐걸까..너무 찐걸까 싶지만 포대자루 같은 느낌없고 딱 예쁜핏이었어요 전😌 왜 다들 색별로 쟁인다는지 알겠더라구요? 그래서 저도 다른 색 사려고 들어왔답니다 실 색은 다음컷과 같고 딱 예쁜 그린이에요 색 예쁘게 빠졌어요 손 많이 갈 템입니다💚,Free
